"iso3c","xmin","xmax","ymin","ymax"
"OMN",52,59.839306,16.6423626,26.506805
"PAK",60.899437,75.3669968,23.702915,36.8898048
"SAU",34.494406,55.6666851,16.379528,32.1543377
"SOM",40.9785004,51.415695,-1.647082,11.9893065
"SDN",21.8389492,38.849304,8.6791191,23.145147
"SYR",35.7162514,42.3850403,32.3106804,37.3191452
"ARE",51.497978,56.3811607,22.6316214,26.0693264
"YEM",41.814583,54.5354156,12.108194,18.9999981
"ARM",43.4497795,46.6300354,38.8305206,41.3018379
"AZE",44.7726021,50.607826,38.3970451,41.9074821
"GEO",40.0111084,46.7213593,41.0385132,43.5845413
"KAZ",46.4918556,87.3126602,40.5516739,55.4318123
"KGZ",69.2797394,80.228428,39.1728439,43.2382355
"TJK",67.3871307,75.137222,36.6720772,41.042244
"TUR",25.6651363,44.8349876,35.8154259,42.1066551
"TKM",52.4414331,66.6843033,35.1298141,42.7955513
"UZB",55.997776,73.1345978,37.1771927,45.571106
"BGD",88.0105667,92.6736603,20.7411118,26.6340733
"BTN",88.7460403,92.1247559,26.700655,28.2476788
"PRK",124.182358,130.674393,37.675976,43.0060501
"IND",68.186249,97.1721573,6.754256,33.2557106
"IDN",95.009705,141.019394,-11.007615,6.076941
"MMR",92.172501,101.1767807,8.824445,28.5432606
"NPL",80.0601425,88.20401,26.3475151,30.4470215
"LKA",79.521805,81.8787537,5.9184718,9.8359709
"THA",97.345192,105.6391296,5.6160421,20.4632111
"TLS",124.0446548,127.342499,-9.504653,-8.1269445
"KHM",102.3338282,107.6276788,9.91361,14.6902693
"CHN",73.5577011,134.7739258,18.159306,53.5608597
"LAO",100.0867691,107.6349792,13.9096752,22.5004005
"MYS",99.640717,119.269722,0.85372,7.380556
"PNG",140.8404999,157.037781,-11.65538,-0.755833
"PHL",116.9283371,126.6053467,4.58694,21.070141
"KOR",124.6097177,131.8714667,33.1123558,38.6117729
"SLB",155.392502,170.192505,-12.308334,-4.44522
"VUT",166.5413971,170.2402802,-20.253241,-13.072476
"VNM",102.1445847,109.46917,8.381355,23.3926926
